X,Y,Name,Longitude,Latitude,Altitude (,Comments,Support He,Support Ty,of UL CEs,of DL CEs,Max Iub UL,Max Iub DL,Equipment,of EV-DO C,Max Backha,Max Backha_1,Alias,Operator,ID_Vtal,Name_2,icon_url
-46.6241000000292,-23.516589998843,Claro_1013131697,-46,-23,,AV CRUZEIRO DO SUL,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6575300000291,-23.5415999988421,Claro_403012384,-46,-23,,R DOUTOR VEIGA FILHO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6611900000291,-23.5387899988422,Claro_696577321,-46,-23,,R CONSELHEIRO BROTERO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6617000000291,-23.5423199988421,Claro_684147343,-46,-23,,R PERNAMBUCO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.7258300000291,-23.6473799988386,Claro_1013051618,-46,-23,,AV NAÇÕES UNIDAS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6623500000291,-23.5582899988416,Claro_684147530,-46,-23,,AL SANTOS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6502200000291,-23.5291999988425,Claro_534783244,-46,-23,,R CONSELHEIRO NÉBIAS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6368000000293,-23.5675999988413,Claro_403013518,-46,-23,,R CASTRO ALVES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6577400000292,-23.5661099988413,Claro_684147432,-46,-23,,AV NOVE DE  JULHO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6453100000292,-23.5562299988417,Claro_683934910,-46,-23,,R RUI BARBOSA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.673890000029,-23.5330499988423,Claro_683841912,-46,-23,,R PINTO GONÇALVES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6360400000292,-23.5261699988426,Claro_683868918,-46,-23,,R JOAQUIM MURTINHO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6701000000291,-23.5628899988414,Claro_684259192,-46,-23,,R DA CONSOLAÇÃO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6286900000292,-23.5345999988424,Claro_534888429,-46,-23,,R DJALMA DUTRA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6705600000291,-23.5477799988419,Claro_1010144640,-46,-23,,"RUA TEODORO RAMOS, 173, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6602500000291,-23.5356299988423,Claro_683902695,-46,-23,,R CONSELHEIRO BROTERO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.667180000029,-23.512939998843,Claro_405604670,-46,-23,,R SAMARITÁ,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6286600000292,-23.5405499988422,Claro_431055963,-46,-23,,AV MERCÚRIO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6133000000293,-23.5372999988423,Claro_683013319,-46,-23,,R RUBINO DE OLIVEIRA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6511000000292,-23.5657099988414,Claro_1015182221,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6417800000292,-23.5627899988415,Claro_431055904,-46,-23,,RUA MARTINIANO DE CARVALHO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6336100000292,-23.5449199988421,Claro_684741113,-46,-23,,R BOA VISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.755990000029,-23.6682599988379,Claro_683867407,-46,-23,,R DEOCLECIANO DE OLIVEIRA FILHO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6609300000292,-23.5643299988414,Claro_1009256448,-46,-23,,AL FRANCA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6575000000291,-23.5425999988421,Claro_577969765,-46,-23,,AV HIGIENÓPOLIS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6593700000292,-23.5608399988415,Claro_682813052,-46,-23,,AL SANTOS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6440200000291,-23.5169799988429,Claro_1014896735,-46,-23,,AV OLAVO FONTOURA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6201800000293,-23.5565899988417,Claro_1005012080,-46,-23,,AV DO ESTADO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6374800000292,-23.5442699988421,Claro_695531344,-46,-23,,AV SÃO JOÃO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6467200000292,-23.5636199988414,Claro_1004601902,-46,-23,,R DOS INGLESES,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6437000000292,-23.5526099988418,Claro_683895150,-46,-23,,R SÃO DOMINGOS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6722200000291,-23.5483299988419,Claro_1010112195,-46,-23,,"RUA TEODORO RAMOS, 340, PACAEMBU",50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.688470000029,-23.5645599988413,Claro_405610432,-46,-23,,R NAVARRO DE ANDRADE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6199000000293,-23.5440999988421,Claro_534767303,-46,-23,,RUA OIAPOQUE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6880100000289,-23.5170099988428,Claro_688566448,-46,-23,,R BONIFÁCIO DE ANDRADE,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6545400000291,-23.5252899988426,Claro_683868888,-46,-23,,R CRUZEIRO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6340000000292,-23.5288999988426,Claro_687380944,-46,-23,,R AFONSO PENA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6453800000291,-23.5210999988428,Claro_683894900,-46,-23,,RUA SÉRGIO TOMÁS,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6584000000291,-23.5372999988422,Claro_523064152,-46,-23,,R DOUTOR BRASÍLIO MACHADO,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6201000000292,-23.516549998843,Claro_683944290,-46,-23,,R MARIA PRESTES MAIA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6510000000292,-23.5650999988414,Claro_689390750,-46,-23,,AV PAULISTA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
-46.6455200000292,-23.5597599988416,Claro_690656084,-46,-23,,R FORTALEZA,50,,256,256,12288,12288,,96,950000,950000,,Claro,,,./0.png
